EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,FIGHTER_1,FIGHTER_2,FIGHTER_1_RESULT,FIGHTER_2_RESULT,JUDGE_1,JUDGE_1_SCORE,JUDGE_2,JUDGE_2_SCORE,JUDGE_3,JUDGE_3_SCORE
UFC Fight Night: Rodriguez vs. Caceres ,Santiago Ponzinibbio  vs. Zak Cummings ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 28 - 29.Dennis McMahon 28 - 29.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/787d94246afe18a3,Santiago Ponzinibbio,Zak Cummings,W,L,Tony Weeks,28 - 29,Dennis McMahon,28 - 29,Derek Cleary,27 - 30
UFC Fight Night: Rodriguez vs. Caceres ,Trevor Smith  vs. Joseph Gigliotti ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Tony Weeks 26 - 30.Dennis McMahon 26 - 30.Glenn Trowbridge 26 - 30.,http://ufcstats.com/fight-details/e35d878ba90d9769,Trevor Smith,Joseph Gigliotti,W,L,Tony Weeks,26 - 30,Dennis McMahon,26 - 30,Glenn Trowbridge,26 - 30
UFC Fight Night: Rodriguez vs. Caceres ,Maryna Moroz  vs. Danielle Taylor ,W/L,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Dan Furse 29 - 28.Derek Cleary 28 - 29.Rich Montanez 27 - 30.,http://ufcstats.com/fight-details/58c73a9562adcfe5,Maryna Moroz,Danielle Taylor,W,L,Dan Furse,29 - 28,Derek Cleary,28 - 29,Rich Montanez,27 - 30
UFC Fight Night: Rodriguez vs. Caceres ,Court McGee  vs. Dominique Steele ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Tony Weeks 27 - 30.Derek Cleary 28 - 29.Glenn Trowbridge 28 - 29.,http://ufcstats.com/fight-details/4a46b63c19cfa932,Court McGee,Dominique Steele,W,L,Tony Weeks,27 - 30,Derek Cleary,28 - 29,Glenn Trowbridge,28 - 29
UFC Fight Night: Rodriguez vs. Caceres ,Viktor Pesta  vs. Marcin Tybura ,L/W,Heavyweight Bout,KO/TKO ,2,0:53,3 Rnd (5-5-5),John McCarthy,Kick to Head At Distance ,http://ufcstats.com/fight-details/3fe9e895b2a45049,Viktor Pesta,Marcin Tybura,L,W,,,,,,
UFC Fight Night: Rodriguez vs. Caceres ,David Teymur  vs. Jason Novelli ,W/L,Lightweight Bout,KO/TKO ,2,1:25,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance ,http://ufcstats.com/fight-details/cb76509b5c2f2a90,David Teymur,Jason Novelli,W,L,,,,,,
UFC Fight Night: Rodriguez vs. Caceres ,Teruto Ishihara  vs. Horacio Gutierrez ,W/L,Featherweight Bout,KO/TKO ,1,2:32,3 Rnd (5-5-5),Dave Seljestad,Punches to Head At Distance ,http://ufcstats.com/fight-details/34644c44229e41a1,Teruto Ishihara,Horacio Gutierrez,W,L,,,,,,
UFC Fight Night: Rodriguez vs. Caceres ,Cub Swanson  vs. Tatsuya Kawajiri ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,Tony Weeks 27 - 30.Dan Furse 27 - 30.Jeff Dutcher 28 - 29.,http://ufcstats.com/fight-details/537c77f3b75a75ae,Cub Swanson,Tatsuya Kawajiri,W,L,Tony Weeks,27 - 30,Dan Furse,27 - 30,Jeff Dutcher,28 - 29
UFC Fight Night: Rodriguez vs. Caceres ,Chase Sherman  vs. Justin Ledet ,L/W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dave Seljestad,Jeff Dutcher 27 - 30.Derek Cleary 27 - 30.Dennis McMahon 27 - 30.,http://ufcstats.com/fight-details/02f4277726712796,Chase Sherman,Justin Ledet,L,W,Jeff Dutcher,27 - 30,Derek Cleary,27 - 30,Dennis McMahon,27 - 30
UFC 201: Lawler vs. Woodley ,Robbie Lawler  vs. Tyron Woodley ,L/W,UFC Welterweight Title Bout,KO/TKO ,1,2:12,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punch to Head At Distance ,http://ufcstats.com/fight-details/c67e5fec8e1876f0,Robbie Lawler,Tyron Woodley,L,W,,,,,,
